Pairwise comparison of optimized interfaces and upper-layer dynamics
===================================================================
run A           run B             interface_RMSE           u1_RMSE           v1_RMSE           uv_RMSE     abs_cost_diff
random          flat_mid            1.891303e-02      3.513555e-05      5.158639e-05      6.241524e-05      1.857357e-06
random          flat_high           5.061161e-02      9.171585e-05      7.914343e-05      1.211424e-04      1.974394e-05
random          flat_low            3.427276e-02      1.009113e-04      1.014787e-04      1.431119e-04      3.138895e-04
random          shifted             3.275485e-02      1.116941e-04      1.017441e-04      1.510875e-04      3.848645e-04
random          sin_x               3.321600e-02      2.856940e-04      1.589040e-04      3.269121e-04      1.718311e-03
flat_mid        flat_high           5.181884e-02      9.366270e-05      4.492802e-05      1.038808e-04      1.788659e-05
flat_mid        flat_low            3.580149e-02      8.202589e-05      5.422923e-05      9.833136e-05      3.120322e-04
flat_mid        shifted             3.637781e-02      1.085672e-04      9.302339e-05      1.429692e-04      3.830071e-04
flat_mid        sin_x               3.269707e-02      2.681501e-04      1.890728e-04      3.281052e-04      1.716454e-03
flat_high       flat_low            8.104364e-02      1.600865e-04      6.814350e-05      1.739863e-04      2.941456e-04
flat_high       shifted             2.495725e-02      7.919360e-05      1.247721e-04      1.477827e-04      3.651205e-04
flat_high       sin_x               5.947853e-02      3.453192e-04      1.817462e-04      3.902269e-04      1.698567e-03
flat_low        shifted             6.158685e-02      1.438790e-04      1.160519e-04      1.848491e-04      7.097497e-05
flat_low        sin_x               4.467109e-02      2.281332e-04      2.357279e-04      3.280432e-04      1.404422e-03
shifted         sin_x               4.549544e-02      3.300922e-04      2.138152e-04      3.932910e-04      1.333447e-03
